lyrics
"Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Around the world  around the world
Beyond life
You will find your song
Before sound
To be found
Close your eyes and rise
Higher still
Endless thrill
To the land of love
Beyond love
Come alive
Angel eye
Forever watching you and I
You are the light behind a cloud
You are the end and the beginning
A world where time is not allowed
There's no such thing as competition
This is a journey of the soul
The perfect song is framed with silence
It speaks of places never seen
Your home's a promise long forgotten
It is the birthplace of your dreams
Computerized
Computerized
Everyone will be...
Computerized
She says I'm cold
Only time I'm comfortable kissing is sending X and Os
Whatever happened to our phone sex?
I broke her heart on the email
I can't even tell y'all whats real
Computerized
Computerized
Computerized
Everyone will be...
Computerized
You might also like
Start mackin' on my black berry
She got jealous I was tappin' on my Blackberry
So she didn't keep in touch
And I can't tell the difference
We ain't see each other much
Aside from some late night texts
My current feels just like my exes
Am I that unaffectionate?
Computerized
Computerized
Computerized
Everyone will be...
Computerized
I don't know how I feel
Somebody tell me what's real
I don't know how I feel
Somebody tell me what's real
I don't know how I feel
Somebody tell me what's real
I don't know how I feel
Somebody tell me what's real
I don't know how I feel
Somebody tell me what's real
I don't know how I feel
Somebody tell me what's real
She said it got better and worser
And it's supposed to be vice-versa
We used to see tears when we hurt stuff
I guess it got faster but colder
That's better than not seeing her
And I'm so glad I'm serving her like Serena
She can YouTube in the arena
Computerized
Computerized
Computerized
Everyone will be...
 uh  Jack was talkin' about
 uh  it's definitely not a particle that's nearby
 uh  bright object
 uh  obviously rotating because it's flashing
 uh  way out in the distance
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
(Look out!)
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
Hey  everybody y'all  whoo
You might also likeHey  everybody y'all  whoo
Human After All:
Tron: Legacy:
Random Access Memories:
Encore Helmet:Thomas BangalterDiscovery:
Transistional Period:
Human After All:
Tron: Legacy:
Random Access Memories:
